緯度,經度,補習班名稱,電話,核准科目名稱,補習班住址,立案文號,立案日期,備註
24.78129340 ,121.02316710 ,新竹市私立子用精實文理短期補習班,(03)5770513,數學美語其他英文作文,新竹市光復路一段268巷30弄32號1樓至2樓,府教社字第1040033459號,2/9/2015,
24.79638320 ,120.98034370 ,新竹市私立華星文理短期補習班,(03)5712708,美語數學作文,新竹市東山街32巷8號1樓,府教社字第1040040875號,3/2/2015,
24.80206140 ,120.99800460 ,新竹市私立楊怡文理短期補習班,(03)5753002,其他其他,新竹市建美路25號1樓至2樓,府教社字第1040049906號,3/23/2015,
24.81301090 ,120.98069730 ,新竹市私立奕維美語短期補習班,(03)5153689,美語,新竹市自由路67號3樓之1,府教社字第1040046389號,3/12/2015,
24.80363980 ,120.97186480 ,新竹市私立鐵人文理短期補習班,0937139095,數學,新竹市民族路25號4樓,府教社字第1040058258號,4/7/2015,
24.79168180 ,121.00941800 ,新竹市私立奇為文理短期補習班短期補習班,(03)5772694,美語數學,新竹市世傑路230號2樓,府教社字第1040021432號,1/21/2015,
24.83848020 ,120.93791960 ,新竹市私立名嘉外語短期補習班,(03)5363035,英文,新竹市中清一路40號1樓,府教社字第1030089410號,4/9/2014,
24.82379020 ,120.97246630 ,新竹市私立誠樺語文技藝短期補習班,(03)5354777,國語作文其他,新竹市金竹路124號1樓,府教社字第1030196068號,11/4/2014,
24.80314700 ,120.97149000 ,新竹市私立德利國際語文技藝短期補習班,(03)6663882,日文英文日文其他日文珠算其他,新竹市光復路一段327號1樓至2樓,府教社字第1030193149號,10/28/2014,
24.81342700 ,120.97120100 ,新竹市私立品勵文理短期補習班,(03)5316522,其他數學,新竹市民權路260號1樓至4樓,府教社字第1030183172號,10/9/2014,
24.80438700 ,120.97256900 ,圭賢國際有限公司附設新竹市私立圭賢韓語短期補習班,(03)5252558,其他其他其他其他,新竹市東門街62號10樓,府教社字第1030164585號,9/3/2014,
24.79971540 ,120.96550870 ,新竹市私立楊氏速讀語文短期補習班,(03)5238347,速讀日文,新竹市林森路147號4樓之3,府教社字第1030161589號,8/27/2014,
24.80120600 ,120.98574100 ,新竹市私立佳辰文理短期補習班,(03)5166078,其他數學美語作文,新竹市光復路二段385號2樓至3樓,府教社字第1030159702號,8/21/2014,
24.79711970 ,120.96867290 ,新竹市私立立百加外語文理短期補習班,(03)5622338,數學其他,新竹市南大路428號4樓,府教社字第1030154122號,8/12/2014,
24.79226950 ,121.01519290 ,新竹市私立鴻韻科園音樂短期補習班,(03)6668000,音樂音樂,新竹市慈濟路248號3樓至4樓,府教社字第1030154750號,8/12/2014,
24.78129340 ,121.02316710 ,新竹市私立申羿文理短期補習班,(03)5678397,數學其他,新竹市光復路一段544巷40號1樓至2樓,府教社字第1030152074號,8/8/2014,
24.79947400 ,120.98165800 ,新竹市私立學悟文理短期補習班,(03)5725088,國語數學,新竹市博愛街130號1樓至2樓,府教社字第1030151356號,8/6/2014,
24.81744020 ,120.96490720 ,新竹市私立汶語美語文理短期補習班,(03)5408686,美語數學,新竹市武陵路66號1樓,府教社字第1030177674號,9/29/2014,
24.78727720 ,121.01941320 ,世界公民文化發展股份有限公司附設新竹市私立數位世界語文短期補習班,(03)5782199,美語,新竹市關新路183號1樓至2樓,府教社字第1030174424號,9/22/2014,
24.79886810 ,120.96276000 ,新竹市私立何嘉仁四維語文短期補習班,(03)5277903,英語英語國語,新竹市四維路42號1樓至3樓、50號1樓至2樓,府教社字第1030138608號,7/14/2014,有兩間
24.78408810 ,121.02241600 ,新竹市私立教育家文理短期補習班關東分班,(03)5777791,美語美語數學美術其他,新竹市關東路106號1樓至4樓,府教社字第1030170503號,9/15/2014,
24.80623240 ,120.95137960 ,新竹市私立貝爾文理短期補習班,(03)5267855,數學美語作文,新竹市北區延平路一段214巷68號1樓至2樓,府教社字第1030136611號,7/7/2014,
24.79575650 ,120.97627640 ,新竹市私立聯合文理短期補習班東南分班,(03)5735589,英文數學其他,新竹市食品路191巷25號3樓,府教社字第1030120473號,6/6/2014,
24.78589290 ,121.02137740 ,私立佳典文理短期補習班,(03)6667188,美語,新竹市東區關新北路181號1樓,府教社字第1030116860號,5/29/2014,
24.81159690 ,120.96552750 ,新竹市私立寶兒美語技藝短期補習班,(03)5260909,美語美術,新竹市水田街1號3樓,府教社字第1030093986 號,4/16/2014,
24.80257370 ,120.98683410 ,新竹市私立竹辰美語短期補習班,(03)5165986,英文,新竹市東光路47號1樓至2樓,府教社字第1030073048 號,3/6/2014,
24.79831470 ,120.95584270 ,新竹市私立亞果文理短期補習班,(03)5308581,美語數學,新竹市頂埔路8號1樓至4樓,府教社字第1030086271 號,4/2/2014,
24.80303710 ,120.97054220 ,新竹市私立妍囍美容美髮短期補習班,(03)5285003,美容其他,新竹市信義街68號6樓之2,府教社字第1030054113 號,1/24/2014,
24.81381510 ,120.96685800 ,弋果文化事業股份有限公司附設新竹市私立弋果美語文理短期補習班經國分班,(03)5359988,美語國語國文數學,經國路二段16號4樓至6樓,府教社字第1030060205 號,2/7/2014,
24.79893150 ,121.00533540 ,新竹市私立種子英語短期補習班建功分班,(03)5752799,英文,新竹市公道五路二段345號1樓至2樓,府教社字第1020377459號,11/11/2013,
24.80485070 ,120.97268650 ,大無限雲端股份有限公司附設新竹市私立大無限1號文理短期補習班,(03)5238578,國語數學其他其他其他其他美語英文物理英文其他數學數學其他其他其他,新竹市民族路34號5樓,府教社字第1020393408 號,12/16/2013,
24.80302640 ,120.97172550 ,高點數位科技股份有限公司附設新竹市私立高點建國文理短期補習班,(03)5245888,其他其他其他其他其他會計其他,新竹市民族路7號4樓、5樓、6樓,府教社字第1020399275號,12/23/2013,
24.79927410 ,120.96489400 ,新竹市私立艾學爾文理短期補習班,(03)5283688,美語數學美語,新竹市林森路169號地下1樓（辦公室）、1樓至4樓,府教社字第1020370180 號,10/28/2013,
24.82385150 ,120.97229070 ,弘學文教有限公司附設新竹市私立和謙外語短期補習班,(03)5337790,其他英語其他英語,新竹市金竹路136號1樓,府教社字第1020360007 號,10/4/2013,
24.80208360 ,120.99801840 ,新竹市私立東盟外語短期補習班,(03)5750003,其他英語,新竹市建美路67號1樓至2樓,府教社字第1020340505 號,8/28/2013,
24.78291200 ,121.02037600 ,新竹市私立育達文理短期補習班,(03)5678058,英語數學,新竹市光復路一段268巷9弄6號1樓及10號1樓,府教社字第1020319887 號,7/16/2013,
24.79884740 ,120.98274550 ,新竹市私立何嘉仁東園語文短期補習班,(03)5721590,英語英語,新竹市博愛街96號3樓,府教社字第1020317762 號,7/10/2013,
24.72074980 ,120.91955030 ,私立慈愛文理短期補習班,(03)5378001,國語數學英文,新竹市中華路6段226巷6弄20號1樓至4樓,府教社字第1030172076號,9/15/2014,
24.78355700 ,121.01422100 ,新竹市私立康橋美語文理短期補習班,(03)5797018,美語其他理化美語,新竹市光復路一段360之18號1樓至3樓,府教社字第1020321055 號,7/17/2013,
24.80078230 ,120.96076860 ,新竹市私立瀚銘文理短期補習班,(03)5220991,美語數學,新竹市四維路77號1樓至4樓,府教社字第1020328643 號,8/8/2013,
24.78507020 ,121.01092500 ,新竹市私立典翰文理短期補習班科園分班,(03)5631905,國語數學數學美語理化美語其他其他,新竹市光復路一段607巷30號2樓,府教社字第1020051892 號,4/30/2013,
24.78224160 ,121.01963090 ,新竹市私立巨才美語文理短期補習班,(03)5670018,數學其他美語,新竹市光復路1段271號3樓,府教社字第1020020227號,2/21/2013,
24.79851790 ,120.96420540 ,新竹市私立向日葵丫丫英語短期補習班,(03)5265871,英語,新竹市福德街43號1樓至4樓,府教社字第1020016262 號,2/8/2013,
24.79933020 ,120.98135010 ,新竹市私立博佑語文短期補習班,(03)5728858,英語,新竹市博愛街93號1樓至2樓,府教社字第1020011110 號,1/31/2013,
24.73858260 ,120.91400920 ,新竹市私立約瑟美語短期補習班,(03)5377558,美語美語,新竹市中華路6段218號1樓至4樓,府教社字第1020009556 號,1/24/2013,
24.78770740 ,121.01748210 ,新竹市私立奎豆文理短期補習班,(03)6662468,數學數學國語美語美語其他其他,新竹市新莊街70、72號1樓至2樓,府教社字第1020006565 號,1/18/2013,
24.81028630 ,120.97144560 ,私立親仁文理短期補習班,(03)5315519,美語數學其他國語,新竹市世界街36號及38號1樓至2樓,府教社字第1010146839 號,11/29/2012,有兩間
24.80485070 ,120.97268650 ,希格瑪文教事業股份有限公司附設新竹市私立希格瑪6號文理短期補習班,(03)5233119,英文數學物理其他,新竹市民族路34號7樓之2,府教社字第1010090586 號,8/3/2012,
24.72607140 ,120.92912080 ,新竹市私立鄒老師文理短期補習班,(03)5181004,英語數學,新竹市南隘路二段25號1樓至3樓,府教社字第1010149148 號,12/7/2012,
24.81551020 ,120.97403630 ,新竹市私立江藝術工作室短期補習班,(03)5425922,美術,新竹市光華東街19號,府教社字第1010120233 號,10/4/2012,
24.75851410 ,120.96079950 ,新竹市私立璽理文理短期補習班,(03)5710701,數學理化,新竹市東南街271號1樓至2樓,府教社字第1010139001 號,11/9/2012,
24.79669760 ,120.97522500 ,新竹市私立讀冊人文理短期補習班,(03)5725472,英文數學理化,新竹市食品路155巷46號1樓至3樓,府教社字第 1010130686 號,10/26/2012,
24.81182500 ,120.97191100 ,新竹市私立達文西文理技藝短期補習班,(03)5424285,日文其他數學數學音樂其他理化,新竹市民權路227號1樓至2樓,府教社字第1010144096 號,11/23/2012,
24.80962800 ,120.95907900 ,新竹市私立牛頓文理短期補習班,(03)5222508,英語數學作文,新竹市西大路601號1樓、2樓之1、2樓之2,府教社字第1010118787 號,10/1/2012,
24.81405400 ,120.97970010 ,新竹市私立英翰英語短期補習班,(03)5350626,英語,新竹市自由路109號1樓至2樓,府教社字第1010115616號,9/25/2012,
24.78129340 ,121.02316710 ,新竹市私立聖立文理短期補習班,-3,數學數學數學其他理化理化,新竹市光復路1段607巷3弄8號1樓至2樓,府教社字第1010108070 號,9/13/2012,
24.79640410 ,120.99972870 ,新竹市私立愛迪標文理短期補習班,(03)5733901,美語數學,新竹市光復路2段298巷7弄16號1樓,府教社字第 1010108067號,9/6/2012,
24.80060190 ,120.98560120 ,新竹市私立普林斯頓文理短期補習班,(03)5725128,數學美語,新竹市光復路2段393巷4弄5號1樓,府教社字第1010103023號,8/30/2012,
24.78745850 ,121.01870370 ,新竹市私立親仁科園文理短期補習班,(03)5787222,其他美語數學國語,新竹市關新西街49號4樓,府教社字第1010106844 號,8/30/2012,
24.80485070 ,120.97268650 ,新竹市私立曾加文理短期補習班,(03)5252338,數學英文,新竹市民族路34號7樓之1,府教社字第1010097442 號,8/13/2012,
24.81921900 ,120.97539700 ,新竹市私立孩子的天空美術短期補習班,(03)5424601,美術,新竹市光華二街71號1樓,府教社字第1010087999 號,7/30/2012,
24.81424310 ,120.97965860 ,新竹市私立維格美語文理技藝短期補習班,(03)5329266,美語數學其他國語電腦,新竹市自由路111號1樓至2樓,府教社字第1010099656 號,8/16/2012,
24.80044500 ,120.98419510 ,新竹市私立英語花園美語短期補習班,912233411,英語,新竹市綠水里綠水路51號,府教社字第1010061232號,5/25/2012,
24.80362480 ,120.97211550 ,英捷國際股份有限公司附設新竹市私立英代外語短期補習班,(03)5260153,美語日文,新竹市民族路22號1樓及2樓之1,府教社字第1010077666號,7/4/2012,
24.81993110 ,120.96662920 ,新竹市私立學儒文理短期補習班,03-5336882,數學其他英文,新竹市湳中街10號1樓至2樓,府教社字第 1010064346號,6/13/2012,
24.79488740 ,121.00892470 ,新竹市私立傑揚文理短期補習班,(03)5797999,數學美語作文,新竹市埔頂路123號A棟1樓及123號A棟2樓,府教社字第 1010060536號,5/23/2012,
24.78468780 ,121.01028660 ,新竹市私立延展文理短期補習班惠民分班,(03)5631905,美語數學美術其他國語理化,新竹市惠民街67號1樓至4樓,府教社字第1010050060號,5/4/2012,
24.79567100 ,120.97575810 ,新竹市私立陽明文理短期補習班,(03)5751700,數學其他英文英文數學,新竹市東南街227號1樓至2樓、東南街231號、233號1樓至2樓,府教社字第1010038839號,4/5/2012,有多間
24.80049820 ,120.98511540 ,新竹市私立羿伸文理短期補習班,(03)5711666,美語美語數學數學其他其他,新竹市光復路2段393巷16號1樓,府教社字第1010028550 號,3/21/2012,
24.80314700 ,120.97149000 ,全國文教事業有限公司附設新竹市私立全國英日韓語言短期補習班,(03)5232775,日文英文其他,新竹市中正路22號8樓之1樓,府教社字第1010022836 號,3/9/2012,
24.79041490 ,120.92413100 ,新竹市私立香翰文理技藝短期補習班,0972164422,數學珠算國語英文,新竹市香北一路186號1樓至2樓,府教社字第 1010022220號,3/2/2012,
24.78262980 ,121.01145740 ,新竹市私立山熊科學文理短期補習班,(03)6667360,其他其他數學數學,新竹市科學園路107巷1號,府教社字第1010019608 號,2/23/2012,
24.78278000 ,121.02030400 ,新竹市私立友友美語短期補習班,(03)5776323,美語,新竹市光復路1段485巷6弄9號1-2樓,府教社字第1010020210號,2/23/2012,
24.80658650 ,120.96646870 ,新竹市私立妍田語文短期補習班,(03)5223506,美語作文,新竹市中山路40巷25號3樓,府教社字第1010012841號,2/16/2012,
24.84019580 ,120.93602740 ,新竹市私立英語種子學苑文理短期補習班,(03)5366883,美語美語數學數學,新竹市延平路三段673號1樓、延平路三段667巷8號1樓,府教社字第1010011366號,2/6/2012,
24.80344910 ,120.96083400 ,新竹市私立聖保羅美語文理短期補習班,(03)5242168,美語數學數學其他美語其他,新竹市延平路一段60號4樓,府教社字第1010010419號,2/1/2012,
24.80909570 ,120.95774120 ,新竹市私立喬立文理短期補習班,(03)5232425,美語數學美語,新竹市西大路643巷35號1樓至2樓,府教社字第1000156569號,1/12/2012,
24.80363980 ,120.97186480 ,智基科技開發股份有限公司附設新竹市私立正志光法商短期補習班,(03)5255117,其他其他國文英文數學其他其他,新竹市民族路25號2-3樓,府教社字第1000128358 號,12/5/2011,
24.79539990 ,120.96506860 ,新竹市私立佳樺美語短期補習班,(03)5220991,美語,新竹市四維路89巷2-1號2樓,,11/1/2011,
24.78347230 ,121.01149990 ,私立大衛美日語短期補習班 ,(03)5781100,日文美語,新竹市科學園路一三九號,府教社字第0930083580 號,7/30/2004,
24.80732360 ,120.97350940 ,琴絃社音樂有限公司附設新竹市私立琴絃社音樂短期補習班,(03)5422252,音樂音樂音樂音樂音樂音樂,新竹市三民路20號2樓至4樓,府教社字第1000120882 號,10/21/2011,
24.80215000 ,120.99791600 ,新竹市私立佳邑文理短期補習班,(03)5711226,美語英文數學其他作文,新竹市建美路41號、43號1樓至4樓,府教社字第1000120020 號,10/17/2011,
24.78604620 ,121.02038970 ,新竹市私立智恩文理短期補習班,(03)6686005,英語數學國語其他英語音樂,新竹市關新北路153號1樓,府教社字第1000098833 號,8/26/2011,
24.79548310 ,120.97200120 ,新竹市私立洪林教學中心文理短期補習班,(03)5268255,國語,新竹市西大路582巷15弄30號1-2樓,府教社字第1000095750號,8/24/2011,
24.83568700 ,120.94524000 ,新竹市私立快樂地文理短期補習班,(03)5360019,國語美語數學,新竹市東大路3段380-2號1-2樓,府教社字第1000088541 號,8/22/2011,
24.78443730 ,121.01145020 ,新竹市私立伊凡美語短期補習班,(03)5678403,美語音樂,新竹市科學園路107巷22號1樓至2樓,府教社字第1000086000 號,8/11/2011,
24.80485900 ,120.97291100 ,新竹市私立思達文理短期補習班,(03)5282998,其他英文數學其他其他,新竹市民族路36號2樓,府教社字第1000087475 號,8/2/2011,
24.80873420 ,120.97427800 ,新竹市私立李安貳號文理短期補習班,(03)5333575,其他數學,新竹市中央路198號2樓,府教社字第1000082542 號,7/27/2011,
24.80485900 ,120.97291100 ,新竹市私立欣蕾舞蹈短期補習班,(03)5245885,舞蹈舞蹈舞蹈,新竹市民族路36號5樓,府教社字第1000092052 號,9/1/2011,
24.81239070 ,120.96315430 ,新竹市私立超越文理短期補習班,(03)5356988,美語數學數學美語,新竹市城北街123號1-2樓,府教社字第 1000079269號,7/22/2011,
24.80129500 ,120.99699800 ,新竹市私立文欣文理短期補習班,(03)5719152,其他美語作文數學,新竹市建功一路152號1樓至4樓,府教社字第 1000078955號,7/18/2011,
24.81854610 ,120.96645680 ,新竹市私立育群文理短期補習班,(03)5409717,英語數學,新竹市武陵路79號1樓,府教社字第1000055210 號,5/18/2011,
24.79453830 ,120.96280310 ,新竹市私立艾維仕美語短期補習班,(03)5614095,英語英語,新竹市振興路29號2樓至4樓,府教社字第1000078200 號,7/12/2011,
24.79889210 ,120.98608570 ,新竹市私立偉傑英數文理短期補習班學府分班,(03)5737609,數學英語,新竹市學府路373號1-2樓,府教社字第1000027238號,3/18/2011,
24.79472070 ,120.99749210 ,財團法人信誼基金會附設新竹市私立光明文理短期補習班,(03)5752212,數學數學國語國語,新竹市光明新村187號,府教社字第1000027236 號,3/16/2011,
24.80849980 ,120.96229810 ,奧林匹克文化事業(股)公司附設新竹市私立奧林匹克文理短期補習班,(03)5253382 5262307,英語數學,新竹市民富街101號2樓,府教社字第1000022392 號,3/3/2011,
24.79784700 ,120.94987200 ,新竹市私立學品文理短期補習班,(03)5302330,其他美語數學,新竹市香山區頂埔路4號1樓至3樓,府教社字第1000013700 號,2/18/2011,
24.79482000 ,120.96545300 ,新竹市私立傑立文理短期補習班,(03)5619997,數學美語國語,新竹市食品路540號2樓之1,府教社字第1000001181 號,1/6/2011,
24.80137870 ,120.99684270 ,新竹市私立貝爾伊頓美語短期補習班,(03)5745201,美語,新竹市建功一路156號1樓至2樓,府教社字第1000037134號,4/11/2011,
24.80189640 ,120.95494590 ,新竹市私立道格拉斯美語短期補習班,(03)5280710,美語,新竹市中和路117號1樓,府教社字第0990140070 號,12/15/2010,
24.81808810 ,120.97378700 ,新竹市私立北聯文理短期補習班,(03)5326622,美語數學數學其他,新竹市光華東一街10號1樓至3樓,府教社字第0990116803 號,10/26/2010,
24.81515980 ,120.96166940 ,新竹市私立傳奇美語文理短期補習班,(03)5346889,美語美語數學作文,新竹市竹光路2號1樓至2樓,府教社字第0990122593 號,11/3/2010,
24.81296470 ,120.96395790 ,新竹市私立美育中正音樂舞蹈短期補習班,(03)5347733,音樂舞蹈舞蹈舞蹈音樂,新竹市中正路296之2號2樓,府教社字第0990104822 號,9/27/2010,
24.81700800 ,120.97203700 ,新竹市私立蘇老師文理短期補習班,-3,數學其他,新竹市光華街81號1樓至4樓,府教社字第0990098947 號,9/10/2010,
24.80826080 ,120.96158160 ,新竹市私立戴老師文理短期補習班,(03)5265676,數學英文,新竹市民富街277號1樓至3樓,府教社字第0990098736 號,9/9/2010,
24.81738740 ,120.97063830 ,新竹市私立大蘋果美語短期補習班,(03)5328511,美語美語美語,新竹市國華街72巷8號1樓,府教社字第0990088200 號,8/16/2010,
24.81771210 ,120.97407300 ,新竹市私立芮思美語短期補習班,(03)5421223,英文英文,新竹市光華北街11號1樓,府教社字第0990080300 號,8/9/2010,
24.81105490 ,120.98199760 ,新竹市私立嘉因文理短期補習班,(03)5331579,美語數學作文其他,新竹市民族路265號1、2樓及閣樓；民族路269號2樓、3樓,府教社字第0990072512 號,7/8/2010,兩間
24.80438700 ,120.97256900 ,支點資訊科技有限公司附設新竹市私立三民法政商業短期補習班,(03)5226099,其他其他,新竹市東門街62號2樓,府教社字第0990058888號,6/24/2010,
24.80023480 ,120.98519460 ,新竹市私立益智1號文理短期補習班,(03)5723498,英文數學英文數學,新竹市綠水路5號1樓,府教社字第0990051878號,5/18/2010,
24.80432780 ,120.97194300 ,英美教育文化有限公司附設新竹市私立英美美語短期補習班站前分班,(03)5219966,美語,新竹市東門街80號1樓至2樓,府教社字第0990051551號,5/17/2010,
24.79939360 ,120.97465140 ,新竹市私立天藍語文才藝短期補習班,(03)5615877,美語美術,新竹市東南街53巷43號1樓部份及2樓,府教社字第0990045451號,5/3/2010,
24.78770740 ,121.01748210 ,新竹市私立瑜躍文理短期補習班,(03)5729273,數學英文數學其他英文數學英文,新竹市東山街51號及51號2樓,府教社字第0990038060 號,4/19/2010,
24.81634910 ,120.96565700 ,新竹市私立海茵美語短期補習班,(03)5327773,美語其他數學電腦,新竹市東大路2段182號1樓,府教社字第0990035655號,4/12/2010,
24.80984860 ,120.97720240 ,百世教育科技股份有限公司附設新竹市私立百禮文理短期補習班民生分班,(03)5331884,數學數學,新竹市民生路115號4樓,府教社字第0990035795 號,4/9/2010,
