緯度,經度,補習班名稱,電話
24.903621, 121.05305799999996,新竹縣私立巧克力文理短期補習班,(03)6993630　
24.899117, 121.03879499999994,新竹縣私立奧斯卡文理短期補習班,(03)5990922　
24.8366447, 121.01463710000007,新竹縣私立向晴文理短期補習班,(03)5518978　
24.8156548, 121.02165400000001,新竹縣私立向陽學習教育館文理短期補習班,(03)6583793　
24.8160927, 121.01796190000005,怡學教育股份有限公司附設新竹縣私立怡學美語短期補習班,(03)6577925　
24.8157569, 121.02840839999999,新竹縣私立阿布探索教室文理才藝短期補習班,(03)5501030　
24.8264067, 121.00773490000006,新竹縣私立傑瑞米短期補習班,(03)6575100　
24.8759515, 120.99672340000006,新竹縣私立張易文理短期補習班,(03)5577978　
24.818053, 121.01726209999993,新竹縣私立聯合文理短期補習班成功分班,03-6589755　
24.8143034, 121.02719350000007,新竹縣私立桐心園文理才藝短期補習班,(03)　
24.8180639, 121.01543689999994,致遠幼教事業管理顧問股份有限公司附設新竹縣私立宏毅文理才藝短期補習班,(03)5620615　
24.7156159, 121.09790069999997,新竹縣私立夢想家文理短期補習班,(03)5101068　
24.8190878, 121.02255059999993,新竹縣私立小瓏英語短期補習班,0972969766　
24.8728776, 120.99610170000005,新竹縣私立艾力克文理才藝短期補習班,(03)5595540　
24.7390724, 121.09295109999994,新竹縣私立英橋文理短期補習班,(03)5110730　
24.8410206, 121.00169779999999,新竹縣私立藝果美語短期補習班,(03)555-2266　
24.8180639, 121.01543689999994,新竹縣私立優堡文理才藝短期補習班,03-6580095　
24.8141624, 121.02330219999999,新竹縣私立翰銳藝術短期補習班,(03)6682027　
24.8246344, 121.02506599999992,新竹縣私立G.L.I.喬治亞文理短期補習班,(03)6683767　
24.823574, 121.0100708,新竹縣私立光明文理短期補習班,(03)5589696　
24.8284227, 121.00413589999994,亮語文創教育有限公司附設新竹縣私立亮語文創作坊文理短期補習班,03-5585675　
24.8414196, 120.9984475,新竹縣私立林立文理短期補習班,(03)5533071　
24.8185582, 121.0209165,新竹縣私立邱天數理柳吟國文文理短期補習班,(03)6676490　
24.8181957, 121.01702679999994,新竹縣私立勵學成功文理短期補習班,(03)6682996　
24.9031685, 121.038543,新竹縣私立培德園文理短期補習班,(03)5904349　
24.8241138, 121.02601950000007,新竹縣私立妮可文理短期補習班,(03)5506140　
24.906292, 121.04757940000002,新竹縣私立弘承文理短期補習班,(03)5999953　
24.8315564, 121.01440550000007,新竹縣私立鳴謙仁愛文理短期補習班,(03)6572776　
24.815855, 121.0160591,新竹縣私立知欣文理短期補習班興隆分班,(03)6577735　
24.8181972, 121.01690250000001,新竹縣私立台灣拓人竹北成功校文理短期補習班,(03)6681277　
24.765279, 120.99079819999997,新竹縣私立迪親堡文理短期補習班,(03)5208085　
24.86633, 121.0293484,新竹縣私立育青文理短期補習班,"(03)5985100,5976201　"
24.736627, 121.09157800000003,新竹縣私立育田美語文理短期補習班,(03)5950300　
24.8314043, 121.00479389999998,新竹縣私立茱莉亞文理才藝短期補習班,(03)5513320　
24.8110264, 121.02809609999997,新竹縣私立童語語文短期補習班,(03)6560913　
24.744954, 121.08552750000001,新竹縣私立柏森文理短期補習班,(03)5951101　
24.8154814, 121.02718879999998,新竹縣私立普力文美語文理短期補習班,(03)6672699　
24.888522, 121.05168100000003,新竹縣私立冠昱文理短期補習班,(03)5696078　
24.7300891, 121.08889139999997,新竹縣私立竹東佳音英語短期補習班,(03)5959635　
24.8041984, 121.03486320000002,新竹縣私立學言文理短期補習班,(03)5509036　
24.8214881, 121.01366229999996,新竹縣私立威士登美語短期補習班,(03)6572686　
24.8234632, 121.02643820000003,新竹縣私立薇格文理短期補習班,(03)6681875　
24.8381264, 120.99900679999996,新竹縣私立翔勝文理才藝短期補習班,(03)6561720　
24.8184882, 121.01849270000002,新竹縣私立聯合文理短期補習班,03-6681152　
24.8069281, 121.03491729999996,新竹縣私立路易文理短期補習班,(03)6583460　
24.8249497, 121.02592830000003,新竹縣私立郁辰文理短期補習班,(03)6585881　
24.7675213, 121.05709560000003,新竹縣私立易成文理短期補習班,(03)5830037　
24.8224141, 121.02438529999995,諾亞國際教育事業股份有限公司附設新竹縣私立諾亞文理短期補習班,(03)6673783　
24.8319058, 121.01194699999996,新竹縣私立音樂童年音樂舞蹈短期補習班,(03)5583893　
24.8141119, 121.02343930000006,新竹縣私立橋莉美語會話短期補習班,(03)6681268　
24.8283683, 121.00722070000006,大總統文化事業有限公司附設新竹縣私立大東海法商短期補習班,(03)5540236　
24.8248391, 121.01476100000002,新竹縣私立檸檬樹美語文理短期補習班光明分班,03-5589488　
24.7934752, 121.17635380000002,新竹縣私立力成文理短期補習班,(03)5875666　
24.7408698, 121.08773259999998,新竹縣私立寰宇文理短期補習班,(03)510-0008　
24.8151498, 121.03145110000003,新竹縣私立艾菲兒文理才藝短期補習班,(03)6586532　
24.9011989, 121.04520300000001,新竹縣私立曜群文理短期補習班,0928387035　
24.8192856, 121.00914060000002,新竹縣私立光明珠心算文理短期補習班,(03)5584556　
24.8390256, 120.9996956,新竹縣私立春天寫作教室語文短期補習班,(03)5518957　
24.8997264, 121.04747569999995,新竹縣私立喬治亞文理短期補習班,(03)5994413　
24.8361377, 120.99939619999998,新竹縣私立欣倫文理短期補習班,(03)6567545　
24.7335381, 121.08894620000001,新竹縣私立沐風文理短期補習班,0911255048　
24.829829, 121.00473209999996,智基科技開發股份有限公司附設新竹縣私立志光法商文理短期補習班,(03)6570135　
24.8247251, 121.02480709999998,新竹縣私立冠文文理短期補習班,(03)5500475　
24.8239584, 121.02680720000001,新竹縣私立凡斯美語文理短期補習班,(03)6588657　
24.7686397, 121.05721670000003,新竹縣私立Sunny向日葵文理短期補習班,(03)5835752　
24.8134193, 121.0279855,新竹縣私立王牌文理短期補習班,(03)5507478　
24.8623623, 121.02446229999998,新竹縣私立教育家文理短期補習班,(03)5982982　
24.7288242, 121.0880674,新竹縣私立劍橋文理短期補習班,(03)5111276　
24.8421966, 121.00226109999994,新竹縣私立金名文理短期補習班,(03)6562900　
24.7938543, 121.17468059999999,新竹縣私立冠弘文理短期補習班,(03)5873300　
24.8245877, 121.01264739999999,新竹縣私立你最棒韻律舞蹈短期補習班,(03)6105515　
24.8227434, 121.02441399999998,新竹縣私立澳爾文理才藝短期補習班,(03)6588906　
24.8297238, 121.00308359999997,新竹縣私立麻吉小學堂文理才藝短期補習班,(03)6570706　
24.8153552, 121.03168200000005,新竹縣私立夏綠蒂文理短期補習班,(03)5504773　
24.8693825, 120.99168629999997,新竹縣私立天籟文理短期補習班,(03)5590755　
24.8230139, 121.02586259999998,新竹縣私立嘉興文理短期補習班,(03)5500827　
24.8324204, 121.0057511,新竹縣私立小小科學家文理短期補習班,(03)6563610　
24.8279408, 121.00767280000002,台灣拓人教育事業股份有限公司附設新竹縣私立拓人文理短期補習班,(03)5587939　
24.8398662, 121.00112630000001,新竹縣私立卓越文理短期補習班,(03)5510137　
24.831048, 121.00717970000005,新竹縣私立學成文理短期補習班,(03)5544561　
24.8181988, 121.0186109,新竹縣私立博士府文理短期補習班,(03)5504547　
24.826804, 121.08381600000007,新竹縣私立芮蒂語文短期補習班,(03)5895991　
24.7647013, 120.98989540000002,新竹縣私立小太陽文理美語短期補習班,(03)5191017　
24.7260015, 121.08970299999999,新竹縣私立幸福文理短期補習班,(03)5100523　
24.8406505, 121.00083169999994,新竹縣私立佳育英語短期補習班,(03)5513456　
24.7682548, 121.05552990000001,新竹縣私立丹佛文理短期補習班,(03)5832222　
24.826931, 121.08327099999997,新竹縣私立邱傅老師文理短期補習班,(03)5897903　
24.8394785, 121.00199440000006,新竹縣私立華興美語短期補習班,(03)5520610　
24.9052584, 121.05007120000005,新竹縣私立親親文理短期補習班,(03)5901239　
24.794539, 121.17586000000006,新竹縣私立約拿美語短期補習班,(03)5171245　
24.8251174, 121.00997030000008,新竹縣私立康淇文理短期補習班,(03)5583248　
24.8402612, 121.00281659999996,新竹縣私立文揚文理短期補習班,(03)6564195　
24.8728302, 120.99738890000003,新竹縣私立亞格文理短期補習班,(03)5590277　
24.8708249, 120.98995509999997,新竹縣私立朗恩文理短期補習班,(03)5577936　
24.829922, 121.00733749999995,新竹縣私立李安文理短期補習班,(03)6572185　
24.905086, 121.05014260000007,新竹縣私立福田學堂文理短期補習班,(03)5902753　
24.8192468, 121.01917179999998,新竹縣私立知欣文理短期補習班,(03)6585658　
24.8380832, 121.00015050000002,新竹縣私立一心音樂舞蹈短期補習班,(03)6568993　
24.905768, 121.04670099999998,新竹縣私立傑文文理短期補習班,(03)5901319　
24.7435057, 121.08308250000005,新竹縣私立宏音音樂技藝短期補習班,(03)5103333　
24.8229187, 121.02746300000001,新竹縣私立瑞堯美語短期補習班,(03)6578639　
24.8695179, 120.99165240000002,新竹縣私立劉欣3號文理短期補習班,(03)5597405　
24.9006786, 120.98653969999998,新竹縣私立劉欣1號文理短期補習班,(03)5591782　
24.8249218, 121.01026130000002,新竹縣私立夏野多元創意短期補習班,
24.7931074, 121.17377729999998,新竹縣私立立人短期補習班,(03)5871670　
24.8299545, 121.0073549,新竹縣私立陳老師文理短期補習班,(03)5503206　
24.8777428, 120.9978744,新竹縣私立劉欣2號文理短期補習班,(03)5594767　
24.9023347, 121.0381337,新竹縣私立啟宏文理短期補習班,(03)5996007　
24.8223434, 121.01530509999998,新竹縣私立奇力果美語短期補習班,(03)6561212　
24.8259791, 121.00823259999993,新竹縣私立惍明美語短期補習班,(03)6571228　
24.8418705, 120.95413110000004,新竹縣私立安馨短期補習班,(03)5564877　
24.7240268, 121.13179909999997,新竹縣私立佳禾文理短期補習班,(03)5937098　
24.7423961, 121.08595509999998,新竹縣私立喜樂英語短期補習班,(03)5955443　
24.8352214, 121.01692980000007,新竹縣私立學甫文理短期補習班,0982053563　
24.8227351, 121.02676020000001,新竹縣私立縱橫圍棋短期補習班,(03)5501066　
24.8275091, 121.07301600000005,新竹縣私立敦品文理短期補習班,(03)5895458　
24.826254, 121.00798399999996,私立予恩語文短期補習班,(03)5587743　
24.8267255, 121.00697409999998,新竹縣私立楊真文理短期補習班,03-5588028　
24.825011, 121.02657490000001,私立英皇語文短期補習班,(03)6576112　
24.8234842, 121.0258169,私立晨光文理短期補習班,0939554935　
24.7219533, 121.09650699999997,私立韓老師文理短期補習班,(03)5956151　
24.8268392, 121.00963339999998,網路地球村語文資訊有限公司竹北分公司附設新竹縣私立地球村語文短期補習班,(03)5586986　
24.8224782, 121.09292159999995,新竹縣私立興盛文理才藝短期補習班,(03)5891254　
24.7447296, 121.08609189999993,私立學群文理短期補習班,(03)5111088　
24.9029154, 120.98823590000006,私立學仕家美語短期補習班,(03)5250610　
24.8261726, 121.02493179999999,私立捷登文理短期補習班,(03)6582423　
24.8252758, 121.00952180000002,私立羅浮文理短期補習班,(03)4553837　
24.8304994, 121.00779280000006,私立奪標文理短期補習班,(03)6560007　
24.787767, 121.1832253,私立文星美語短期補習班,(03)5171630　
24.8360664, 121.01941529999999,私立文賢文理短期補習班,(03)5516586　
24.8138404, 121.02409779999994,私立立得文理短期補習班,(03)5504949　
24.746803, 121.08310949999998,私立許杰文理短期補習班,(03)5943555　
24.8399417, 121.00231529999996,私立捷恩文理才藝短期補習班,(03)5529950　
24.7417602, 121.0872326,私立傑得文理短期補習班,(03)5956060　
24.820114, 121.01265650000005,私立康乃薾美語短期補習班,03-656 3688　
24.9017501, 121.04026199999998,新竹縣私立名揚文理短期補習班,(03)5902880　
24.8301978, 121.00840440000002,私立加貝文理短期補習班,(03)5539915　
24.8241336, 121.01150469999993,新竹縣私立三一文理短期補習班,(03)5589955　
24.7687849, 121.05645049999998,私立米勒文理短期補習班,(03)5837191　
24.8326275, 121.01962589999994,私立鼓動音樂短期補習班,(03)5588552　
24.8241457, 121.02646959999993,萊恩文化事業股份有限公司附設新竹縣私立萊恩文理短期補習班,(03)6587899　
24.8190474, 121.02491450000002,私立洛伊美語短期補習班,(03)6589661　
24.9020373, 120.98885640000003,私立優質文理短期補習班,(03)5573226　
24.8410003, 120.9983876,私立豐東文理〈竹北分班〉短期補習班,(03)5558383　
24.8312964, 121.00854879999997,私立北辰1號文理短期補習班,0930172268　
24.8372911, 121.01313800000003,私立欣和文理短期補習班,(03)5536990　
24.8375244, 121.0010016,私立學文文理短期補習班,(03)5513025　
24.829358, 121.0184375,私立沛騰美語短期補習班,0922-042281　
24.7268434, 121.0876839,私立高師文理短期補習班,(03)5955699　
24.7376428, 121.09277470000006,私立珍妮佛文理短期補習班,(03)5953925　
24.7369777, 121.08803569999998,新竹縣私立許杰東寧分班文理短期補習班,(03)5948183　
24.8318206, 121.00652200000002,新竹縣私立翰聲文理短期補習班,(03)6561343、6566063　
24.8278791, 121.07128999999998,私立新樺文理短期補習班,0921870312　
24.8397374, 121.00160159999996,私立百奕文理短期補習班,(03)5531534　
24.7319805, 121.08961299999999,私立學益文理短期補習班,(03)5103132　
24.7222277, 121.09132899999997,私立和江文理短期補習班,03-5102636　
24.9017317, 121.04038509999998,私立師嘉文理短期補習班,(03)5999137　
24.900898, 121.03761429999997,私立葉老師美語短期補習班,(03)5992756　
24.9051094, 120.994414,私立長青樹文理短期補習班,(03)5575699　
24.7634054, 120.9869324,私立寶源文理短期補習班,(03)5201186　
24.8782707, 120.99918150000008,私立名師文理短期補習班,(03)5574286　
24.900898, 121.03761429999997,私立佳欣文理短期補習班,(03)5902089　
24.7442953, 121.08687639999994,私立崋新文理短期補習班,(03)5941717　
24.7376517, 121.0865513,私立傅老師美語東寧分校短期補習班,(03)5963690　
24.795017, 121.17527999999993,私立台大顏老師文理短期補習班,(03)5877605　
24.8241138, 121.02601950000007,私立奧爾菲斯藝術短期補習班,(03)6587597　
24.8241138, 121.02601950000007,新竹縣私立楊真文理短期補習班十興分班,03-6670387　
24.7916473, 121.17681549999998,私立中興文理短期補習班,(03)5170191　
24.9056646, 121.04721719999998,私立成功文理短期補習班,(03)5902311　
24.8232383, 121.02555849999999,私立私立掄元文理短期補習班,(03)6587182　
24.7310156, 121.09138050000001,新竹縣私立吳怡文理短期補習班,(03)5969090　
24.8294792, 121.00709230000007,新竹縣私立北聯文教文理短期補習班,(03)5587155　
24.8248391, 121.01476100000002,私立博愛文理短期補習班,(03)5584561　
24.7444261, 121.08341010000004,私立諾貝爾文理短期補習班,(03)5950161　
24.837604, 120.99973399999999,私立弘亞文理短期補習班,(03)5552836　
24.7266782, 121.08795110000005,私立大山文理短期補習班,(03)5951771　
24.83602, 121.01511540000001,私立欣恩文理短期補習班,(03)5558027　
24.8225797, 121.0281946,私立靜川日語短期補習班,(03)5500123　
24.7689468, 121.05467909999993,私立佳佳文理短期補習班,(03)5826528　
24.8308837, 121.00746200000003,私立佳學英語短期補習班,(03)6562366　
24.8222325, 121.0152233,私立愛樂美語短期補習班,(03)5543436　
24.9016934, 121.04045859999997,私立芝麻美語短期補習班,(03)5905522　
24.824787, 121.01052619999996,私立艾瑪美語短期補習班,(03)5588096　
24.7758169, 121.0787709,私立鉅林文理短期補習班,(03)5120033　
24.8122339, 121.02552409999998,私立幼發拉底竹科文理短期補習班,(03)6583643　
24.8707274, 120.99167499999999,私立學府美語短期補習班,(03)5590099　
24.8283176, 120.9996625,私立巨匠電腦短期補習班,(03)5541997　
24.8391759, 121.0045738,私立鴻浩文理短期補習班,(03)5533060　
24.8282857, 121.07790449999993,私立楊老師文理短期補習班,(03)5887817　
24.7250356, 121.08613319999995,私立傑晟文理短期補習班,(03)5103253　
24.8036364, 121.05199530000004,私立立勝短期補習班,0910947257　
24.8781428, 120.99800389999996,私立愛丁堡美語學校忠孝分部短期補習班,(03)5595988　
24.8688478, 120.98938479999993,私立文聖文理短期補習班,(03)5591970　
24.8233739, 121.01384729999995,私立救國團新竹團委會附設語文技藝短期補習班,(03)5587783　
24.818136, 121.131169,私立三方美語短期補習班,(03)5860606　
24.8274563, 121.01601649999998,私立鵝媽媽台大區文理短期補習班,(03)5587168　
24.7076571, 121.06842410000002,私立史努比文理短期補習班,(03)5802895　
24.8246304, 121.01273790000005,私立弋果美語短期補習班,(03)5584520　
24.8318175, 121.01562139999999,私立牛津國際語文短期補習班,(03)5512573　
24.8400399, 121.00408500000003,私立千蕎美語會話短期補習班,(03)5513936　
24.7250669, 121.08954990000007,私立芝蔴村美語短期補習班,(03)5101166　
24.8248069, 121.0104943,私立金城文理短期補習班,(03)6566655　
24.8693735, 120.9918748,私立宇文文理短期補習班,(03)5577868　
24.7445, 121.08628780000004,私立智勝文理短期補習班,(03)5103770　
24.9045688, 121.04854030000001,私立波特美語會話短期補習班,(03)5902727　
24.833284, 121.01386600000001,私立北辰文理短期補習班分班,(03)5510237　
24.8221762, 121.01380470000004,私立橡樹語文短期補習班,(03)6567002　
24.839168, 120.99919279999995,私立范老師才藝短期補習班,(03)5520571　
24.870378, 120.99372100000005,私立米芝霓美語會話短期補習班,(03)5598440　
24.8307183, 121.01338839999994,私立竹慶語文短期補習班,(03)5586111　
24.900898, 121.03761429999997,私立艾倫英語短期補習班,(03)5995499　
24.7732571, 121.08230120000007,私立冠希美語會話短期補習班,(03)5122055　
24.7249433, 121.08767379999995,私立科建美語短期補習班,(03)5102010　
24.7706985, 121.05207389999998,私立槺檸英語短期補習班,(03)5829208　
24.779506, 121.03058599999997,私立文翰文理短期補習班,(03)5822265　
24.7688079, 121.057322,私立綠拇指美語珠心算短期補習班,(03)5831909　
24.905953, 121.047594,新竹縣私立文華文理短期補習班,(03)5993482　
24.9062993, 121.04423810000003,私立凱瑟琳美語文理短期補習班,(03)5903400　
24.7334835, 121.093072,私立牛頓美語會話短期補習班,(03)5964823　
24.8396555, 121.0021898,私立劉杰文理補習班,(03)5520661　
24.9206328, 121.04058980000002,私立德群珠心算短期補習班,(03)5997208　
24.7434698, 121.08282589999999,私立法老師文理短期補習班,(03)5942173　
24.8216109, 121.01423380000006,私立萬朵蘭英語學園短期補習班,(03)5536486 　
24.7462148, 121.08356789999993,私立蘇老師文理短期補習班,(03)5960482　
24.9010547, 120.98704309999994,私立格林文理短期補習班,(03)5599958　
24.8277299, 121.07848949999993,私立聖師文理短期補習班,(03)5886300　
24.8302708, 121.01813659999993,私立童園語文短期補習班,(03)6560913　
24.8294979, 121.00888009999994,私立威爾森文理短期補習班,(03)5585286、5589916　
24.7813214, 121.02953879999995,新竹縣私立尖端文理才藝短期補習班,(03)5832457　
24.8721337, 120.9969509,新竹縣私立古佳右文理技藝短期補習班,(03)5592758　
24.7247746, 121.08783310000001,私立米妮美語會話短期補習班,(03)5942707　
24.7684603, 121.05841759999998,私立Monica美語短期補習班,(03)5823688　
24.9036717, 121.04576220000001,私立佳晟英語會話短期補習班,(03)6993077　
24.7259668, 121.08343190000005,私立雨果美語短期補習班,(03)5111276　
24.7379956, 121.09244690000003,私立小貝爾美語會話短期補習班,(03)5945582　
24.8293922, 121.00458079999999,私立聖安朵美語教學中心短期補習班,(03)5530100　
24.833317, 121.01366600000006,臺師菁英文教事業股份有限公司附設新竹縣私立臺師9號文理短期補習班,(03)5545050　
24.8316474, 121.00607620000005,私立常春藤美語文理短期補習班,(03)6561513　
24.8283972, 121.08149379999998,新竹縣私立鴻濬文理短期補習班,(03)5892578　
24.876176, 120.99678790000007,私立劉欣文理短期補習班,(03)5573441　
24.8346319, 121.01250770000001,私立郭淑惠舞蹈學苑短期補習班,(03)5513745　
24.8408732, 121.00038440000003,臺師菁英文教事業股份有限公司附設新竹縣私立臺師1號文理短期補習班,(03)5539900　
24.8407944, 121.00052540000001,私立宏儒文理短期補習班,(03)5512196　
24.7241499, 121.08643499999994,私立豐東文理短期補習班,(03)5954477　
24.8291435, 121.00839159999998,私立何嘉仁美語短期補習班,(03)6560106　
24.7249433, 121.08767379999995,私立皇家文理短期補習班,(03)5959819　
24.7468167, 121.0828593,私立傅老師美語教學中心短期補習班,(03)5952581　
24.8288446, 121.00630320000005,私立史丹佛美語短期補習班,(03)6563000　
24.7345532, 121.08938710000007,私立亞瑟王美語學校短期補習班,03-5945277　
24.900617, 120.98701589999996,私立龍寶貝文理短期補習班,(03)5680329　
24.8727388, 120.99603219999995,私立小狀元美語短期補習班,(03)5590294　
24.8323219, 121.00173810000001,私立培迪美語短期補習班,(03)5325897　
24.840984, 121.00010610000004,私立力弘文理短期補習班,(03)5520917　
24.8318485, 121.0057061,私立科林美語短期補習班,(03)5542150　
24.8318083, 121.00773290000006,私立鴻韻音樂教室短期補習班,(03)5517700　
24.8431181, 120.99424440000007,私立冠華文理短期補習班,(03)5564394　
24.8317696, 121.00584320000007,私立時代美語會話短期補習班,(03)5550009　
24.8295521, 121.00283300000001,私立高仕電腦短期補習班,(03)5559956　
24.8262091, 121.00820769999996,湯貝爾英語短期補習班,(03)5589521　
24.8761825, 120.99678700000004,私立王老師家教中心短期補習班,(03)5572241　
24.7666383, 121.05656620000002,私立上林語文短期補習班,(03)5824631　
24.8356907, 121.01858140000002,私立正佳珠心算短期補習班,(03)5513516　
